,Accuracy (Fed-Heart-Disease),,,,,,,,,
,server,0,1,2,3,client avg,client std,,,
fedAvg,0.7717,0.7596,0.7640,0.7500,0.6444,0.7295,0.057,,,
fedProx,0.7677,0.7500,0.7528,0.8125,0.6444,0.7399,0.070,,,
fedbn,/,0.7596,0.7640,0.7500,0.6444,0.7295,0.057,,,
fedAP,/,0.7596,0.7341,0.8125,0.7333,0.7599,0.037,,,
metafed,/,0.7756,0.7640,0.7500,0.7111,0.7502,0.028,,,
,,,,,,,,,,
,Accuracy (Fed-Heart-Disease with BN added),,,,,,,,,
,server,0,1,2,3,client avg,client std,,,
fedAvg,0.7087,0.6699,0.5918,0.9167,0.8370,0.7538,0.149,,,
fedProx,0.6877,0.6603,0.6180,0.8958,0.7852,0.7398,0.126,,,
fedbn,/,0.7212,0.7865,0.9375,0.7556,0.8002,0.095,,,
fedAP,/,0.7212,0.7865,0.9375,0.7778,0.8057,0.092,,,
metafed,/,0.7660,0.7865,0.9375,0.8074,0.8244,0.077,,,
,,,,,,,,,,
,Dice (Fed-IxiTiny),,,,,,,,,
,server,0,1,2,client avg,client std,,,,
fedAvg,0.9890,0.9892,0.9898,0.9869,0.9886,0.002,,,,
fedProx,0.9882,0.9881,0.9889,0.9868,0.9879,0.001,,,,
fedbn,/,0.9891,0.9896,0.9871,0.9886,0.001,,,,
fedAP,/,0.9892,0.9896,0.9874,0.9888,0.001,,,,
metafed,/,0.9825,0.9819,0.9741,0.9795,0.005,,,,
,Balanced Accuracy (Fed-ISIC2019),,,,,,,,,
,server,0,1,2,3,4,5,client avg,client std,
fedAvg,0.7270,0.7913,0.7116,0.6486,0.5470,0.4587,0.7335,0.6484,0.1248,
fedProx,0.7081,0.7638,0.6694,0.6515,0.5364,0.4776,0.7646,0.6439,0.1174,
fedbn,/,0.7746,0.5863,0.7389,0.7067,0.6879,0.7399,0.7057,0.0657,
fedAP,/,0.8261,0.7160,0.8162,0.7340,0.6925,0.7515,0.7560,0.0542,
metafed,/,0.7964,0.7263,0.7072,0.4886,0.4380,0.6772,0.6390,0.1425,
